system,dataset,metric,n,mean,std,min,max,cv,ci95_lo,ci95_hi,shapiro_stat,shapiro_p,normal
gector,conll14,f05,1,0.4723,0.0,0.4723,0.4723,0.0,0.4723,0.4723,,,
gector,bea19,f05,1,0.6004,0.0,0.6004,0.6004,0.0,0.6004,0.6004,,,
gector,jfleg,gleu,1,0.4642,0.0,0.4642,0.4642,0.0,0.4642,0.4642,,,
grammarly,conll14,f05,1,0.1361,0.0,0.1361,0.1361,0.0,0.1361,0.1361,,,
languagetool,conll14,f05,1,0.059,0.0,0.059,0.059,0.0,0.059,0.059,,,
languagetool,bea19,f05,1,0.0589,0.0,0.0589,0.0589,0.0,0.0589,0.0589,,,
languagetool,jfleg,gleu,1,0.4,0.0,0.4,0.4,0.0,0.400016,0.400016,,,
chatgpt,conll14,f05,3,0.1858,0.0043,0.182,0.1905,0.0233,0.175006,0.196527,0.9626,0.6286,True
chatgpt,bea19,f05,3,0.1232,0.0085,0.1146,0.1316,0.069,0.10205,0.144284,0.9998,0.9741,True
chatgpt,jfleg,gleu,3,0.4207,0.0006,0.4201,0.4211,0.0014,0.419302,0.422189,0.7996,0.1135,True
claude,conll14,f05,3,0.2099,0.0013,0.2084,0.2109,0.0064,0.206597,0.213269,0.8665,0.2855,True
claude,bea19,f05,3,0.1555,0.0027,0.1525,0.1574,0.017,0.14895,0.162117,0.8547,0.253,True
claude,jfleg,gleu,3,0.4233,0.0004,0.4229,0.4237,0.001,0.422225,0.424283,0.9651,0.6412,True
deepseek,conll14,f05,3,0.1899,0.0072,0.1831,0.1974,0.0378,0.172075,0.207725,0.9929,0.8385,True
deepseek,bea19,f05,3,0.1423,0.0038,0.1381,0.1456,0.0268,0.13278,0.151753,0.9643,0.6369,True
deepseek,jfleg,gleu,3,0.4207,0.0013,0.4193,0.4219,0.003,0.417563,0.423871,0.9747,0.6952,True
